place,title,time,pay,date
서울 강남구,현대백화점 무역센터점,10:00~19:30,"시급8,600",5분전
경기 부천시,현대백화점 중동점,10:00~19:30,"시급8,600",7분전
서울 강남구,현대백화점 무역센터점,10:00~19:00,"시급8,600",43분전
경기 고양시,현대백화점 킨텍스점,10:00~19:30,"시급8,600",45분전
서울 강동구,현대백화점 천호점,10:00~19:30,"시급8,600",2시간전
대구 중구,현대백화점,10:00~19:30,"시급8,600",3시간전
경기 성남시,현대백화점 판교점,10:00~19:30,"시급8,600",3시간전
경기 고양시,현대백화점 킨텍스점,09:00~18:30,"시급8,600",4시간전
인천 연수구,현대프리미엄아울렛 송도점,10:00~19:00,"시급8,600",5시간전
서울 강남구,현대백화점,09:30~18:30,"시급9,410",08/20
서울 서대문,현대백화점 신촌점,10:30~20:30,"시급8,600",08/20
서울 강남구,현대백화점,09:00~19:00,"시급8,600",08/20
충북 청주시,현대백화점 충청점,10:30~20:00,"시급8,600",08/19
경기 성남시,현대백화점 판교점,09:00~18:30,"시급8,600",08/18
경기 성남시,현대백화점 판교점,10:00~20:00,"시급8,600",08/17
서울 성북구,현대백화점 미아점,09:00~18:00,"시급8,600",08/15
서울 강남구,현대백화점 무역센터점,10:00~19:00,"시급8,600",08/13
경기 고양시,현대백화점 킨텍스점,10:00~19:30,"시급8,600",08/12
서울 구로구,현대백화점,11:00~18:00,"시급8,600",08/10
인천 연수구,현대프리미엄아울렛 송도점,10:00~19:30,"시급8,600",08/08
부산 해운대,7번가피자 송정점,11:00~22:00,"시급8,590",9분전
제주 제주시,7번가피자 제주이도점,11:00~23:00,"시급8,700",12분전
경남 김해시,7번가피자,18:00~00:00,"시급9,000",29분전
서울 노원구,7번가 피자 상계점,11:00~23:00,"주급700,000",1시간전
충북 청주시,7번가피자  용암점,18:00~23:00,"시급8,700",1시간전
대전 전체,7번가피자 관저점,15:30~20:00,"시급9,500",2시간전
대전 전체,7번가피자 관저점,15:30~20:00,"시급9,500",3시간전
경기 용인시,7번가피자 수지점,11:00~22:00,"월급2,300,000",3시간전
대구 북구,7번가피자 칠곡점,11:00~23:00,"월급2,200,000",3시간전
경기 용인시,7번가피자 수지점,11:00~22:00,"월급2,300,000",4시간전
경기 용인시,7번가피자 수지점,11:00~22:00,"월급2,300,000",4시간전
서울 노원구,7번가 피자 상계점,11:00~23:00,"주급700,000",4시간전
서울 노원구,7번가 피자 상계점,11:00~23:00,"주급600,000",4시간전
전남 목포시,7번가피자하당점,11:00~24:00,"월급2,000,000",4시간전
경기 수원시,7번가피자 정자점,18:00~23:00,"시급8,590",4시간전
충북 청주시,7번가피자 율량점,18:00~23:00,"시급8,700",5시간전
부산 기장군,7번가피자 기장점,17:00~23:00,"시급10,000",5시간전
세종 아름동,7번가피자 세종(청사)점,11:00~23:00,"시급10,000",5시간전
부산 해운대,7번가피자 송정점,11:00~22:00,"시급8,590",5시간전
세종 전체,7번가피자 세종(청사)점,11:00~23:00,"시급10,000",5시간전
경기 성남시,7번가피자 미금점,11:00~21:00,"시급8,600",6시간전
인천 서구,7번가피자 청라점,17:00~21:00,"시급9,000",6시간전
세종 전체,7번가피자새롬점,18:00~21:00,"시급9,000",6시간전
대전 유성구,7번가피자 노은점,11:00~23:30,"시급10,000",6시간전
부산 해운대,7번가피자 송정점,11:00~22:00,"시급8,590",6시간전
부산 기장군,7번가피자 기장점,17:00~23:00,"시급10,000",7시간전
부산 기장군,7번가피자 기장점,17:00~23:00,"시급10,000",7시간전
인천 서구,7번가피자검단점,12:00~23:00,"시급10,500",10시간전
충북 청주시,7번가피자  용암점,18:00~23:00,"시급8,700",19시간전
경기 용인시,7번가피자 수지점,11:00~22:00,"월급2,300,000",20시간전
대전 유성구,7번가피자 노은점,11:00~23:30,"시급10,000",21시간전
경기 부천시,7번가피자 범박점,11:00~23:00,"월급2,500,000",08/20
부산 기장군,7번가피자 기장점,17:00~23:00,"시급10,000",08/20
경기 용인시,7번가피자 수지점,11:00~22:00,"월급2,300,000",08/20
대전 전체,7번가피자 관저점,15:30~20:00,"시급9,500",08/18
서울 구로구,패스트앤베스트,11:00~24:00,"월급3,000,000",08/18
충북 청주시,7번가피자  용암점,18:00~23:00,"시급8,700",08/18
경기 용인시,7번가피자 동백점,18:00~21:00,"시급8,700",08/17
충북 청주시,7번가피자 율량점,18:00~23:00,"시급8,700",08/17
서울 구로구,패스트앤베스트,11:00~24:00,"월급3,000,000",08/17
울산 동구,KFC 울산명덕,19:00~23:00,"시급8,590",12분전
경기 고양시,일산장항,09:00~00:00,"시급8,590",36분전
서울 강서구,우장산역,09:00~24:00,"시급8,590",41분전
서울 강서구,우장산역,09:00~24:00,"시급8,590",41분전
서울 서초구,KFC 강남역점,11:30~17:00,"시급8,590",44분전
서울 서초구,KFC 강남역점,17:00~23:30,"시급8,590",45분전
경기 양주시,KFC 양주고읍,18:00~23:00,"시급8,590",1시간전
서울 서초구,강남고속터미널,18:00~01:00,"시급8,590",1시간전
경기 부천시,부천상동HP,17:00~22:00,"시급8,590",2시간전
서울 동대문,청량리역사,15:00~23:00,"시급8,590",2시간전
경기 의정부,KFC 의정부HP,17:00~23:00,"시급8,590",3시간전
대구 북구,KFC 침산네거리,09:00~24:00,"시급8,590",4시간전
울산 남구,울산현대,18:00~24:00,"시급8,590",4시간전
경기 수원시,수원인계DT,18:00~24:00,"시급8,590",4시간전
경기 부천시,부천상동HP,17:00~22:00,"시급8,590",4시간전
서울 강남구,학동역,23:00~07:00,"시급8,590",4시간전
서울 강남구,학동역,18:00~02:00,"시급8,590",4시간전
경기 성남시,서현역,00:00~24:00,"시급8,590",4시간전
서울 동대문,청량리역사,15:00~23:00,"시급8,590",5시간전
서울 전체,봉천역,18:00~24:00,"시급8,590",5시간전
서울 동대문,청량리역사,15:00~23:00,"시급8,590",11시간전
서울 강남구,학동역,18:00~02:00,"시급8,590",12시간전
서울 강남구,학동역,23:00~07:00,"시급8,590",12시간전
서울 동대문,청량리역사,15:00~23:00,"시급8,590",13시간전
서울 동대문,청량리역사,15:00~23:00,"시급8,590",15시간전
경기 부천시,부천상동HP,17:00~22:00,"시급8,590",15시간전
경기 수원시,수원인계DT,17:00~23:30,"시급8,590",08/20
서울 서초구,방배역,17:00~23:00,"시급8,590",08/20
대구 달서구,상인네거리,17:00~01:00,"시급8,590",08/20
경기 수원시,수원인계DT,17:00~23:30,"시급8,590",08/20
경기 의정부,KFC 의정부HP,13:00~23:00,"시급8,590",08/20
부산 부산진,부산서면,17:00~24:00,"시급8,590",08/19
경기 수원시,영통씨네마,10:00~16:00,"시급8,590",08/19
경북 포항시,포항양덕DT,09:00~24:00,"시급8,590",08/19
서울 관악구,서울대입구역,12:00~24:50,"시급8,590",08/18
경기 안산시,안산중앙,16:00~23:30,"시급8,590",08/18
경기 수원시,수원인계DT,17:00~23:30,"시급8,590",08/18
경기 성남시,분당정자,09:30~23:00,"시급8,590",08/18
서울 강서구,우장산역,09:00~24:00,"시급8,590",08/18
서울 강서구,우장산역,09:00~24:00,"시급8,590",08/18
경기 용인시,버거킹 수지GS점,11:00~17:30,"시급8,590",1분전
서울 송파구,버거킹 종합운동장사거리점,08:00~01:00,"시급8,590",1분전
서울 송파구,버거킹 종합운동장사거리점,08:00~01:00,"시급8,590",2분전
서울 송파구,버거킹 종합운동장사거리점,08:00~01:00,"시급8,590",2분전
경기 양평군,버거킹 경기양평점(S),15:00~22:30,"시급8,590",4분전
서울 송파구,버거킹 문정점,08:00~02:00,"시급8,590",4분전
서울 송파구,버거킹 문정점,08:00~02:00,"시급8,590",4분전
서울 송파구,버거킹 위례신도시GS점,08:00~16:00,"시급8,590",5분전
경북 김천시,버거킹 김천교동DT점(S),18:00~23:00,"시급8,590",7분전
서울 마포구,버거킹 공덕역점,09:00~24:00,"시급8,590",7분전
서울 마포구,버거킹 공덕역점,09:00~24:00,"시급8,590",7분전
대구 동구,버거킹 대구이시아폴리스점(S),08:00~24:00,"시급8,590",8분전
대구 중구,경대병원역DT점,15:00~21:00,"시급8,590",10분전
대구 수성구,대구시지점,09:00~24:00,"시급8,590",11분전
서울 전체,버거킹 충무로역점,19:00~01:40,"시급8,590",11분전
대구 중구,경대병원역DT점,10:00~22:00,"시급8,590",11분전
서울 전체,버거킹 충무로역점,19:00~01:40,"시급8,590",13분전
경기 이천시,이천CGV점,18:00~24:00,"시급8,590",14분전
경기 용인시,버거킹 수지GS점,11:00~17:30,"시급8,590",14분전
경기 안양시,평촌학원가점,17:00~24:00,"시급8,590",20분전
인천 전체,송도현대아울렛점,16:00~22:30,"시급8,590",21분전
서울 종로구,버거킹 종로구청점,17:00~24:00,"시급8,590",24분전
서울 종로구,버거킹 종로구청점,17:00~24:00,"시급8,590",26분전
경기 이천시,이천CGV점,18:00~24:00,"시급8,590",28분전
경남 양산시,버거킹 양산웅상DT점,19:00~24:30,"시급8,590",35분전
경남 양산시,버거킹 양산웅상DT점,16:00~19:30,"시급8,590",36분전
서울 용산구,버거킹 서울역점,00:00~24:00,"시급8,590",36분전
서울 용산구,버거킹 서울역점,00:00~24:00,"시급8,590",36분전
서울 용산구,버거킹 서울역점,00:00~24:00,"시급8,590",37분전
서울 용산구,버거킹 서울역점,00:00~24:00,"시급8,590",37분전
서울 마포구,버거킹 공덕역점,09:00~24:00,"시급8,590",37분전
서울 마포구,버거킹 공덕역점,09:00~24:00,"시급8,590",38분전
서울 마포구,버거킹 공덕역점,15:00~24:00,"시급8,590",38분전
경남 창원시,버거킹 마산합성,19:00~23:00,"시급8,590",39분전
경북 안동시,버거킹 경북도청점(S),09:00~23:00,"월급2,000,000",40분전
경북 예천군,버거킹 경북도청점(S),09:00~23:00,"월급2,000,000",40분전
경북 예천군,버거킹 경북도청점(S),09:00~23:00,"시급8,590",41분전
서울 금천구,버거킹 가산이앤씨7점,11:00~16:00,"시급8,590",42분전
