place,title,time,pay,date
부산 남구,다이소 부산경성대점,10:00~16:00,"시급8,590",21분전
전국 전체,다이소 직영3현장CS팀,09:30~18:30,"월급2,095,310",33분전
경남 창원시,다이소 진해중앙점,09:00~18:00,"월급1,795,310",36분전
부산 해운대,다이소 부산해운대장산본점,09:00~15:00,"시급8,590",38분전
서울 중랑구,다이소 먹골역점,16:00~22:00,"시급8,590",1시간전
경기 시흥시,다이소 시흥월곶점,09:00~22:00,"시급8,590",2시간전
부산 기장군,다이소 메가마트기장점,09:00~21:00,"시급8,590",2시간전
경북 포항시,다이소 포항대잠점,09:00~21:00,"시급8,590",2시간전
울산 북구,다이소 울산신천점,09:00~22:30,"월급1,795,310",2시간전
부산 기장군,다이소 부산정관신도시점,09:00~22:30,"시급8,590",2시간전
대구 동구,다이소 대구반야월점,09:00~22:30,"월급1,795,310",2시간전
대구 북구,다이소 대구대현점,16:00~22:00,"시급8,590",2시간전
경기 시흥시,다이소 시흥정왕2호점,10:00~22:30,"시급8,590",2시간전
경북 포항시,다이소 포항대잠점,09:00~21:00,"시급8,590",2시간전
부산 기장군,다이소 부산정관신도시점,09:00~22:30,"시급8,590",2시간전
부산 기장군,다이소 부산기장본점,16:00~22:00,"시급8,590",2시간전
경북 문경시,다이소 문경모전점,08:00~22:30,"월급1,795,310",2시간전
서울 강서구,다이소 발산역점,07:00~22:00,"월급1,795,310",2시간전
서울 강서구,다이소 까치산2호점,16:00~22:00,"시급8,590",2시간전
서울 양천구,다이소 목동역점,07:30~16:30,"월급1,795,310",2시간전
세종 전체,다이소 조치원점,09:00~22:00,"시급8,590",2시간전
울산 북구,다이소 탑마트울산화봉점,08:00~21:00,"시급8,590",2시간전
충남 천안시,다이소 천안본점,08:30~11:30,"시급8,590",2시간전
경기 시흥시,다이소 시흥정왕본점,09:30~22:00,"월급1,795,310",2시간전
서울 금천구,다이소 시흥사거리점,16:00~22:00,"시급8,590",2시간전
경기 광명시,다이소 광명사거리점,07:00~21:00,"시급8,590",2시간전
경기 안양시,다이소 안양중앙점,07:00~22:30,"월급1,795,310",2시간전
